FROTA MOVIMENTO,,,,,,,,,,,
#,Carro,Modelo,Prefixo,Linhas,Status,Locação,Quinta,sexta,Sábado,Domingo,Segunda
36,24220,O-500 RSD,1087-1,BH / SABINÓPOLIS,,MATRIZ,CH 1062-1 - 08:45 - Peç - 1214 - 22:00 - BH,1214 - 20:00 - ML,1214 - 22:00 - BH,1214 - 20:00 - ML,1214 - 22:00 - BH
37,24300,O-500 RSD,1162,BH X AGUA BOA,PARADO,MATRIZ,,,,,
38,24330,O-500 RSD,1162,BH X AGUA BOA,,MATRIZ,1062A - 22:30 - bh,1062A - 20:00 - Saf,1062A - 22:30 - bh,1062A - 20:00 - Saf,1062A - 22:30 - bh
39,24500,O-500 R,5784,BALDIM X BH VIA SÃO VICENTE,,MATRIZ,5784 - 06:30 - Bal - 5784 - 16:15 - bh,5784 - 06:30 - Bal - 5784 - 16:15 - bh,5784 - 06:30 - Bal - 5784 - 11:15 - bh,5784 - 06:30 - Bal - 5784 - 11:15 - bh,5784 - 06:30 - Bal - 5784 - 11:15 - bh
40,24700,O-500 R,RESERVA,RESERVA - MATRIZ,,MATRIZ,1140 - 09:00 - bh - 1140 - 15:00 - ol,1013 - 10:00 - BH - 1013 - 17:15 - IT,,1013 - 17:00 - BH,1013 - 05:00 - IT
41,24770,O-500 R,1047,BH X FERROS VIA ITABIRA,,MATRIZ,1047 - 10:00 - Brau - 1047 -17:00 - Brau,1047 - 10:00 - Brau - 1047 -17:00 - Brau,1047 - 10:00 - Brau - 1047 -17:00 - Brau,,1047 - 10:00 - Brau - 1047 -17:00 - Brau
42,24800,O-500 R,1013,EXTRA BH X ITABIRA,,MATRIZ,1013 - 06:00 - It -1013 - 15:00 - bh,1013 - 06:00 - It -1013 - 12:00 - bh,1013 - 06:00 - It -1013 - 11:00 - bh,1013 - 07:00 - It -1013 - 13:00 - bh,1013 - 06:00 - It -1013 - 15:00 - bh
43,24880,O-500 R,1013,EXTRA BH X ITABIRA,PARADO,MATRIZ,,,,,
44,26900,O-500 RSD,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
45,26990,O-500 RSD,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
46,27000,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,1217 - 05:30 - bh - 1217 - 21:30 - NC,1217 - 19:30 - BH,,,
47,27110,O-500 RSD,RESERVA,RESERVA - MATRIZ,RESERVA ITABIRA,MATRIZ,S/E,,,,
48,27660,OF-1722,5784,EXTRA BHX BALDIM VIA VARGEM GRANDE,PARADO,MATRIZ,FOI LIBERADO AGORA DE TARDE,,,,
49,29600,OF-1721,RESERVA,RESERVA - MATRIZ,,MATRIZ,S/E,,,,
50,29660,OF-1721,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
51,29700,OF-1721,1020,BH X ITAMBÉ DO MATO DENTRO,,MATRIZ,S/E,,,,
52,29770,OF-1721,1020,ITAMBÉ DO MATO DENTRO X BH,,MATRIZ,1020 - 06:30 - Itam - 1020 - 15:45 - bh,1020 - 06:30 - Itam - 1020 - 15:45 - bh,1020 - 06:30 - Itam - 1020 - 15:45 - bh,,
53,30030,OF-1721,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
54,30100,O-500 R,1140,BH X OLIVEIRA,,MATRIZ,1140 - 07:00 - bh - 1140 - 13:00 - ol,1140 - 07:00 - bh - 1140 - 13:00 - ol,1140 - 07:00 - bh - 1140 - 13:00 - ol,,
55,30110,O-500 R,1140,BH X OLIVEIRA,PARADO,MATRIZ,,,,,
56,30200,O-500 R,1140,BH X OLIVEIRA,,MATRIZ,1062A - 07:00 - Saf,,,,
57,30330,O-500 R,1047,BH X FERROS VIA ITABIRA,,MATRIZ,1047 - 09:00 - bh - 10472 - 16:00 - ferr,1047 - 09:00 - bh - 10472 - 16:00 - ferr,1047 - 09:00 - bh - 10472 - 16:00 - ferr,,
58,30600,O-500 R,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
59,30700,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,1062A - 20:00 -Saf,1062A - 11:30 - bh,,,
60,30770,O-500 RSD,RESERVA,RESERVA - MATRIZ,PARADO,MATRIZ,,,,,
61,30800,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,1218 - 21:00 - ITAM,1062A - 22:30 - SAF,,,
62,31300,OF-1721,1155,BH X CARMESIA VIA MORRO DO P.,PARADO,MATRIZ,,,,,
63,31330,OF-1721,1155,EXTRA BH X CARMESIA VIA MORRO DO P.,PARADO,MATRIZ,,,,,
64,31400,OF-1721,5785,BHX BALDIM VIA VARGEM GRANDE,,MATRIZ,5785 - 06:30 - bh - 5785 - 15:00 - Bal,5785 - 06:30 - bh - 5785 - 15:00 - Bal,5785 - 06:30 - bh,,
65,31440,OF-1721,5785,EXTRA BHX BALDIM VIA VARGEM GRANDE,,MATRIZ,1155 - 05:00 - Carm - 1155 - 14:00 - bh,1155 - 05:00 - Carm - 1155 - 14:00 - bh,,,
66,32100,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,10872 - 15:30 - bh,10872 - 06:00 - Mat - 1053 - 16:00 - Jap,,,
67,32220,O-500 R,1108,SANTO ANTONIO X BH,,MATRIZ,1162 - 08:30 - ÁB,1162 - 11:30 - bh,,,
68,32800,O-500 RSD,1087-2,BH X MATERLANDIA,,MATRIZ,1218 - 22:15 - Itam,1062A - 10:00 - saf,,,
69,32880,O-500 RSD,1087-2,BH X MATERLANDIA,PARADO,MATRIZ,,,,,
70,32900,O-500 RSD,1062-1,BH X PEÇANHA,,MATRIZ,CH 1217 - 1162 - 11:30 - bh,1162 - 08:30 - ÁB - 1218 - 21:15 - bh,1218 - 21:00 - Ita,,
71,32990,O-500 RSD,1062-1,BH X PEÇANHA,,MATRIZ,1119 - 11:00 - SS,10501 - 07:00 - bh,,,
72,33000,O-500 RSD,1217,BH X CAPELINHA,,MATRIZ,1217 - 11:15 - NC,1217 - 05:30 - bh,1217 - 11:15 - NC,,
73,33030,O-500 RSD,1217,BH X CAPELINHA,,MATRIZ,10501 - 07:00 - bh,10501 - 07:00 - Pass - 10501 - 18:30 - bh,10501 - 07:00 - bh,,
74,33100,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,CH 10872 - 1050 - 22:00 - BH,1050 - 21:00 - CAS,,,
75,33110,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,RODANDO EM ITABIRA,,,,
76,33200,O-500 RSD,RESERVA,RESERVA - MATRIZ,,MATRIZ,CH 1214 - 1062A - 10:00 BH,1062A - 11:30 - SAF - 1218 - 21:00 - BH,1218 - 22:15 - ITAM,,
77,33220,O-500 RSD,1062 A,BH X SAFIRA,LAVRAS,MATRIZ,S/E,,,,
78,33300,O-500 RSD,1063 A,BH X SAFIRA,,MATRIZ,CH 10755 - 1217 - 19:30 - BH,1217 - 11:15 - NC,,,
79,33330,O-500 RSD,1075,BH X POÇOS DE CALDAS MATUTINO,,MATRIZ,1214 - 20:00 - MALA,CH 1214 - 1309 - 10:00 - BH,1309 - 10:00 - OF,,
80,33400,O-500 RSD,1075,BH X POÇOS DE CALDAS MATUTINO,PARADO,MATRIZ,,,,,
81,33440,VOLVO,1218,BH X ITAMARANDIBA,,MATRIZ,1075 - 12:30 PÇ,1075 - 13:30 - BH,1075 - 12:30 PÇ,,
82,33500,VOLVO,1218,BH X ITAMARANDIBA,,MATRIZ,1075 - 08:30 - BH,1075 - 08:00 - PÇ,1075 - 08:30 - BH,,
83,33550,VOLVO,1075,BH X POÇOS DE CALDAS DIURNO,PARADO,MATRIZ,,,,,
84,33600,VOLVO,1075,BH X POÇOS DE CALDAS DIURNO,PARADO,MATRIZ,,,,,
85,33660,VOLVO,1217,BH X CAPELINHA,,MATRIZ,1075 - 08:00 - PÇ,1075 - 08:30 - BH,1075 - 08:00 - PÇ,,
86,33700,VOLVO DD,1043,BH X ITAJUBA NOTURNO,PARADO,MATRIZ,,,,,
87,33770,VOLVO DD,1043,BH X ITAJUBA NOTURNO,,MATRIZ,CH 1075 - 1013 - 11:00 - 1013 - 15:00 - 1075 - 22:15 - BH,1075 - 21:00 PÇ,CH 1075 - 1013 - 11:00 - 1013 - 15:00 - 1075 - 22:15 - BH,,
88,33800,VOLVO DD,1075,BH X POÇOS DE CALDAS NOTURNO,,MATRIZ,1075 - 21:00 - PÇ,CH 1075 - 1013 - 10:00 - 1013 - 17:15 - 1075 - 22:15 - BH,1075 - 21:00 - PÇ,,
89,33880,VOLVO DD,1075,BH X POÇOS DE CALDAS NOTURNO,PARADO,MATRIZ,,,,,
90,33900,VOLVO DD,1013,BH X ITABIRA - 11:00H - VOLTA 15:00H,,MATRIZ,1043 - 21:00 - ITAJ,CH 1043 - 1013 - 08:00 - 1013 - 13:00 - 1043 - 21:00 - BH,1043 - 21:00 - ITAJ,,
91,33990,SCANNIA 360,1217,BH X CAPELINHA,,MATRIZ,1043 - 06:00 - ITAJ - 1043 - 21:15 - BH,,,,
92,34000,SCANNIA 360,1214,BH X MALACACHETA,,MATRIZ,1043 - 06:00 - BH,1043 - 06:00 - ITAJ,1043 - 06:00 - BH,,
93,34040,SCANNIA 360,1214,BH X MALACACHETA,,MATRIZ,10532 - 06:45 - BH - 16:00 - LP,1043 - 06:00 - BH,1043 - 06:00 - ITAJ,,
94,34100,SCANNIA 360,1062-A,BH X SÃO JOSE DA SAFIRA,PARADO,MATRIZ,,,,,
95,34110,SCANNIA 360,1062-A,BH X SÃO JOSE DA SAFIRA,PARADO,MATRIZ,,,,,
